Pos,No.,Name,Team,Gender,Class,Time,Behind,Hardtail,eBike,S1: Rockshox Point n Shoot,,,S2: Peatys Castle,,,S3: Camelbak Grand Canyon,,,S4: Exposure Booze Cruise,,,S5: Fox Moor Line,,,S6: Topeak Rake n Ride,,,S7: Maxxis Thistle Hill,,,Bonus,Penalty Details
1st,1,Fergus Lamb,Hazzard Racing,M,Enduro | Master Male (30-39),18:40.6,,,,03:05.4,2nd,+0:00.20,03:10.6,2nd,+0:02.94,02:05.1,1st,,02:59.4,1st,,02:04.6,2nd,+0:01.39,02:06.4,1st,,03:09.0,1st,,,
2nd,8,Marc Beaumont,Evil Bicycles/WTB,M,Enduro | Master Male (30-39),19:02.2,+0:21.62,,,03:06.4,4th,+0:01.20,03:18.1,10th,+0:10.45,02:11.6,4th,+0:06.54,03:04.5,4th,+0:05.10,02:03.3,1st,,02:07.0,2nd,+0:00.65,03:11.2,3rd,+0:02.21,,
3rd,1163,Joe Connel,Privateer Bikes,M,Enduro | Senior Male (18-29),19:12.3,+0:31.68,,,03:08.9,6th,+0:03.66,03:20.6,14th,+0:12.94,02:12.3,6th,+0:07.16,03:04.0,3rd,+0:04.51,02:06.5,7th,+0:03.21,02:09.3,5th,+0:02.94,03:10.8,2nd,+0:01.79,,
4th,1172,Corey Watson,Nukeproof Sram Factory Racing,M,Enduro | Senior Male (18-29),19:16.6,+0:35.99,,,03:06.0,3rd,+0:00.70,03:15.9,4th,+0:08.29,02:14.7,13th,+0:09.65,03:03.5,2nd,+0:04.01,02:11.2,27th,+0:07.96,02:13.3,20th,+0:06.90,03:12.0,4th,+0:03.01,,
5th,34,Christo Gallagher,Orange Factory Racing,M,Enduro | Senior Male (18-29),19:20.3,+0:39.75,,,03:12.0,8th,+0:06.75,03:17.4,6th,+0:09.78,02:10.8,2nd,+0:05.65,03:07.5,7th,+0:08.09,02:09.1,14th=,+0:05.85,02:10.4,8th=,+0:04.06,03:13.1,6th,+0:04.10,,
6th,1162,Lachlan Blair,Deviate Clan,M,Enduro | Senior Male (18-29),19:26.0,+0:45.44,,,03:14.4,12th,+0:09.19,03:16.6,5th,+0:08.99,02:15.3,15th,+0:10.25,03:07.3,6th,+0:07.84,02:08.5,11th,+0:05.25,02:09.4,6th,+0:03.06,03:14.4,9th,+0:05.39,,
7th,6,Jake Ebdon,Santa Cruz Bicycles,M,Enduro | Senior Male (18-29),19:35.4,+0:54.77,,,03:13.8,11th,+0:08.60,03:37.0,67th,+0:29.29,02:12.0,5th,+0:06.85,03:05.9,5th,+0:06.45,02:06.2,6th,+0:02.96,02:08.4,3rd,+0:02.09,03:12.1,5th,+0:03.06,,
8th,154,Tom Moore,Bikepark Dent,M,Enduro | Senior Male (18-29),19:38.4,+0:57.76,,,03:17.1,17th,+0:11.81,03:25.0,31st,+0:17.34,02:16.7,22nd,+0:11.61,03:09.2,11th,+0:09.76,02:04.9,3rd,+0:01.60,02:10.4,8th=,+0:04.06,03:15.1,11th,+0:06.11,,
9th,7,Antony Hale,Nukeproof Team,M,Enduro | Senior Male (18-29),19:39.3,+0:58.72,,,03:07.2,5th,+0:01.95,03:07.7,1st,,02:17.0,24th,+0:11.94,03:09.0,10th,+0:09.55,02:15.6,73rd=,+0:12.36,02:19.0,67th,+0:12.69,03:23.8,46th,+0:14.76,,
10th,4,Joe Barnes,Hazzard Racing,M,Enduro | Master Male (30-39),19:44.8,+1:04.21,,,03:12.7,9th,+0:07.50,03:27.6,37th,+0:19.99,02:14.5,12th,+0:09.44,03:14.2,28th=,+0:14.76,02:08.0,8th,+0:04.71,02:11.9,15th,+0:05.55,03:15.8,12th,+0:06.79,,
11th,3,Jono Jones,Propain Bikes,M,Enduro | Senior Male (18-29),19:47.7,+1:07.13,,,03:19.3,26th,+0:14.06,03:28.4,40th,+0:20.75,02:15.6,16th,+0:10.51,03:10.0,14th,+0:10.60,02:06.2,5th,+0:02.95,02:11.0,11th,+0:04.65,03:17.1,15th,+0:08.14,,
12th,1183,Scott Edgworth,Forbidden Bicycle Company,M,Enduro | Veteran Male (40-49),19:48.8,+1:08.20,,,03:18.3,21st,+0:13.06,03:18.0,9th,+0:10.39,02:16.3,19th,+0:11.19,03:12.1,21st,+0:12.61,02:12.2,38th,+0:08.94,02:14.2,25th,+0:07.85,03:17.7,17th,+0:08.69,,
13th,12,Sean Robinson,No limits Cycling,M,Enduro | Veteran Male (40-49),19:49.7,+1:09.11,,,03:15.5,14th,+0:10.25,03:32.3,52nd,+0:24.59,02:13.5,8th,+0:08.36,03:20.7,55th,+0:21.30,02:05.3,4th,+0:02.10,02:09.0,4th,+0:02.69,03:13.3,7th,+0:04.35,,
14th,26,Craig Evans,Airdrop Bikes,M,Enduro | Master Male (30-39),19:54.0,+1:13.40,,,03:16.4,15th,+0:11.15,03:18.0,8th,+0:10.34,02:19.4,41st,+0:14.34,03:11.4,19th,+0:11.95,02:13.2,45th,+0:09.90,02:15.9,35th,+0:09.60,03:19.7,28th,+0:10.65,,
15th,9,Liam Moynihan,Scott Sports,M,Enduro | Master Male (30-39),19:54.6,+1:13.99,,,03:19.2,25th,+0:14.00,03:23.8,24th,+0:16.14,02:16.6,21st,+0:11.50,03:09.7,12th,+0:10.26,02:08.6,12th,+0:05.35,02:14.5,27th=,+0:08.11,03:22.2,36th,+0:13.16,,
16th,52,William Westgarth,Ride Nutrition,M,Enduro | Senior Male (18-29),19:55.6,+1:14.98,,,03:17.7,19th,+0:12.41,03:18.6,11th,+0:10.99,02:18.5,32nd,+0:13.35,03:12.3,22nd,+0:12.84,02:12.7,42nd,+0:09.46,02:16.9,46th,+0:10.51,03:18.9,23rd,+0:09.95,,
17th,18,Chris Hutchens,The Contour Collective,M,Enduro | Master Male (30-39),19:55.7,+1:15.12,,,03:17.4,18th,+0:12.15,03:24.0,26th,+0:16.39,02:14.2,10th,+0:09.15,03:10.7,16th,+0:11.30,02:11.7,36th,+0:08.40,02:14.3,26th,+0:07.95,03:23.3,42nd,+0:14.31,,
18th,2,Mark Scott,Santa Cruz Bicycles,M,Enduro | Master Male (30-39),19:55.9,+1:15.36,,,03:18.6,22nd,+0:13.40,03:22.0,19th,+0:14.38,02:16.5,20th,+0:11.40,03:09.8,13th,+0:10.36,02:12.6,40th,+0:09.39,02:17.6,52nd,+0:11.21,03:18.8,22nd,+0:09.75,,
19th,16,Jack Harker,Stif Mountain Bikes,M,Enduro | Senior Male (18-29),19:56.4,+1:15.84,,,03:19.1,24th,+0:13.85,03:22.7,20th,+0:15.05,02:13.6,9th,+0:08.46,03:10.1,15th,+0:10.70,02:11.1,25th,+0:07.80,02:16.3,38th,+0:09.90,03:23.6,44th,+0:14.61,,
20th,775,Jack Bower,Valley MTB,M,Enduro | Senior Male (18-29),19:57.3,+1:16.71,,,03:21.2,33rd=,+0:16.00,03:24.2,27th,+0:16.50,02:20.0,46th,+0:14.95,03:14.6,31st,+0:15.11,02:08.1,9th,+0:04.80,02:11.8,13th,+0:05.44,03:17.4,16th,+0:08.44,,
21st,47,Liam Clement,Bird Cycleworks Factory Racing,M,Enduro | Senior Male (18-29),20:01.3,+1:20.72,,,03:16.5,16th,+0:11.30,03:14.7,3rd,+0:07.09,02:19.1,36th,+0:13.96,03:12.9,25th,+0:13.40,02:17.7,102nd,+0:14.40,02:20.0,80th,+0:13.65,03:20.4,31st,+0:11.45,,
22nd,1167,Tom Wilson,Orange Factory Racing,M,Enduro | Senior Male (18-29),20:02.8,+1:22.23,,,03:21.2,33rd=,+0:16.00,03:38.7,72nd,+0:31.09,02:17.1,25th,+0:12.00,03:11.8,20th,+0:12.30,02:09.4,16th,+0:06.16,02:10.3,7th,+0:03.90,03:14.3,8th,+0:05.31,,
23rd,2559,Tom Lampkin,Ride Nutrition,M,Enduro | Senior Male (18-29),20:05.3,+1:24.68,,,03:20.2,29th,+0:14.91,03:17.8,7th,+0:10.18,02:15.9,17th,+0:10.75,03:11.3,18th,+0:11.90,02:13.7,54th,+0:10.50,02:17.7,53rd,+0:11.36,03:28.6,72nd,+0:19.61,,
n/c,2563,Sam Hockenhull,,M,Enduro | Senior Male (18-29),20:05.6,,,E,03:32.9,n/c,,03:16.1,n/c,,02:18.5,n/c,,03:13.2,n/c,,02:11.1,n/c,,02:18.6,n/c,,03:15.0,n/c,,,
24th,1091,Dylan Waghorn,Yeti NZ,M,Enduro | Senior Male (18-29),20:05.6,+1:25.00,,,03:27.5,43rd,+0:22.30,03:22.0,18th,+0:14.30,02:19.8,44th,+0:14.65,03:12.6,24th,+0:13.16,02:10.1,18th,+0:06.81,02:15.0,31st,+0:08.61,03:18.7,21st,+0:09.70,,
25th,14,Josh Bryceland,50to01 Cannondale,M,Enduro | Master Male (30-39),20:05.6,+1:25.03,,,03:20.2,30th,+0:14.96,03:19.6,13th,+0:11.94,02:14.5,11th,+0:09.36,03:14.8,32nd,+0:15.36,02:19.3,124th=,+0:16.00,02:14.1,23rd,+0:07.75,03:23.2,41st,+0:14.19,,
26th,22,Tom Needham,,M,Enduro | Senior Male (18-29),20:07.8,+1:27.22,,,03:13.0,10th,+0:07.70,03:24.8,28th,+0:17.14,02:18.6,35th,+0:13.55,03:12.6,23rd,+0:13.11,02:14.6,66th,+0:11.31,02:15.9,34th,+0:09.54,03:28.4,70th=,+0:19.40,,
27th,932,Will Rowlands,Evolution Bikes,M,Enduro | Master Male (30-39),20:08.0,+1:27.39,,,03:15.1,13th,+0:09.89,03:29.4,46th,+0:21.70,02:19.3,39th,+0:14.15,03:16.9,38th,+0:17.50,02:13.8,55th=,+0:10.54,02:13.9,22nd,+0:07.60,03:19.5,27th,+0:10.54,,
