Class,Name,Stage 8: TC/Ho Chi Min,Stage 9: Zorro/Returns,Stage 10: Thunderstruck,Stage 11: Goat Track,Stage 12: Cresta Run,Stage 13: Green Wing,Stage 14: Cadon Bank
18-34,William BRODIE,01:42.4,02:22.4,01:27.2,02:13.0,01:59.8,01:39.6,03:06.3
14-17,Leo FRATER,01:43.8,02:27.3,01:29.6,02:19.6,02:13.8,01:44.4,03:05.2
14-17,Eli SHEARER,01:47.6,02:29.2,01:31.1,02:23.7,02:09.7,01:44.6,03:10.8
14-17,Alex CATHCART,01:49.1,02:32.5,01:31.6,02:30.2,02:18.4,01:52.0,03:25.1
18-34,Sam FARRAR,01:45.1,02:33.8,01:31.8,02:20.4,02:28.6,01:50.6,03:08.2
18-34,Jack CLARK (sen),01:45.0,02:29.5,01:31.9,02:24.6,02:09.1,01:45.7,03:17.1
35-49,Davi ROBERTS,01:45.1,02:34.5,01:32.2,02:25.2,02:14.1,01:48.0,03:15.8
35-49,Jamie HARRIS (ebike),01:46.1,02:28.9,01:32.6,02:18.5,02:15.4,01:49.2,03:13.1
18-34,Lewis BROWN (elt),01:47.6,02:29.4,01:32.9,02:23.0,02:08.8,01:45.7,03:07.9
18-34,Matt BOAM,01:48.2,02:39.2,01:33.4,02:30.6,02:19.2,01:52.9,03:17.5
18-34,Gavin STEVENSON,01:44.5,02:33.8,01:33.4,02:20.6,02:23.2,01:48.5,03:17.9
18-34,David HASTINGS,01:51.2,02:41.8,01:33.9,02:28.6,02:18.1,01:51.8,03:21.7
18-34,Carl WALKER,01:47.3,02:37.3,01:34.1,02:29.6,02:18.0,01:52.3,03:23.5
18-34,Lewis SEYMOUR,01:54.7,02:32.5,01:35.0,02:29.8,02:16.3,01:50.3,03:23.7
35-49,John ANDERSON (scot),01:44.7,02:34.4,01:36.8,02:31.1,02:13.5,01:49.3,03:23.9
14-17,Tod BUCHANAN,01:48.1,02:34.5,01:36.9,02:22.5,02:23.2,     ,     
35-49,James STRACHAN,01:48.0,02:37.9,01:37.1,02:29.5,02:24.9,01:51.4,     
35-49,Shaun HOLMES,01:56.1,02:43.6,01:38.2,02:34.0,02:21.7,01:52.5,03:24.8
18-34,Declan MARSDEN,01:54.3,02:38.3,01:39.4,02:25.5,02:24.2,01:55.5,03:20.7
35-49,James WEIR (vet1),01:56.2,02:44.7,01:40.0,02:40.4,02:33.3,01:59.8,03:27.1
35-49,Ian LETFORD,01:49.9,02:40.0,01:40.3,02:32.6,02:39.5,01:57.5,03:24.8
14-17,Jack JENKINS (jun),01:49.5,02:34.8,01:40.4,02:25.5,02:21.8,01:56.8,03:15.8
35-49 (F),Tracy MOSELEY,01:50.1,02:36.6,01:40.4,02:26.6,02:22.9,01:53.9,03:20.4
18-34,Michael PEARSON,01:59.8,02:47.1,01:40.5,02:42.6,02:36.3,02:00.4,03:34.7
35-49,Mark NEAL (vet),01:50.1,02:40.6,01:40.7,02:27.3,02:27.9,01:56.3,03:15.6
35-49,Donny KENNEDY,01:55.2,02:49.0,01:40.7,02:37.1,02:40.9,01:57.9,03:24.2
35-49,Darren INGLE,01:50.5,02:39.9,01:40.7,02:23.8,02:27.8,01:53.8,03:16.1
50+,Robbie DODDS,01:54.4,02:49.5,01:41.1,02:32.5,02:38.2,01:59.1,03:33.2
35-49,Dan ALAINIS,01:53.8,02:46.5,01:41.6,02:29.8,02:37.8,01:58.2,03:29.2
18-34,Jack HARRISON (sen2),01:55.8,02:42.1,01:41.6,02:36.1,02:41.4,02:11.1,04:35.4
35-49,Mark BIRKETT,01:56.5,02:46.5,01:41.7,02:33.5,02:40.5,01:54.5,03:26.1
35-49,Rowland JOWETT,01:51.5,02:42.5,01:41.8,02:37.1,02:31.9,02:00.3,03:37.0
14-17,Ruairidh BURGESS,01:52.6,02:38.3,01:42.2,02:24.5,02:17.2,01:54.2,03:08.8
35-49,Matthew WILSON (ebike),01:52.8,02:49.9,01:42.8,02:29.2,02:32.5,01:59.2,03:37.8
50+,Paul WHELDON,01:52.3,02:47.8,01:43.2,02:33.1,02:36.9,01:55.8,03:29.8
14-17,Oliver BLYTH,01:54.3,02:47.8,01:43.2,02:33.0,02:33.5,02:02.1,03:26.9
50+,Mark DOUGHTY,01:56.4,02:44.6,01:43.3,02:35.5,02:31.1,01:55.3,03:31.2
18-34,Callum DARBYSHIRE,01:58.8,02:51.8,01:43.6,02:48.6,02:33.0,02:05.1,03:42.5
50+,Tim METCALFE (gvet),01:55.6,02:44.7,01:43.7,02:43.2,02:36.6,01:58.4,03:28.9
18-34,Robin BERTRAM,01:56.7,02:48.0,01:43.9,02:33.4,02:50.5,02:00.4,03:27.9
35-49,Stuart HEANEY,02:01.4,02:52.6,01:44.1,02:34.4,02:37.7,02:02.1,03:34.4
18-34,Chris OWEN,01:55.5,02:42.6,01:44.4,02:28.2,02:29.5,02:00.3,03:28.9
18-34,Andy HEATON,01:59.0,02:53.7,01:44.6,02:29.9,02:45.3,01:58.2,03:28.5
50+,Jim BUCHANAN,01:56.5,02:51.3,01:44.6,02:33.2,02:39.8,02:01.3,03:28.0
35-49,Keith WRIGHT,01:58.7,02:51.4,01:44.8,02:36.3,02:43.7,02:04.3,03:33.1
18-34,David CONLON,01:59.1,02:57.8,01:45.0,02:32.0,03:04.6,     ,     
18-34,Sam BERESFORD,01:57.8,02:51.4,01:45.6,02:44.0,02:36.3,02:07.3,03:29.2
50+,Philip DODSWORTH,01:59.4,02:51.5,01:45.7,02:34.0,02:54.4,02:03.7,03:33.5
35-49,Chris LLOYD,02:00.6,02:45.9,01:45.7,02:22.9,02:32.3,02:00.8,03:16.5
35-49,Gary COTTON,01:59.9,02:50.1,01:45.8,02:37.5,02:45.3,02:01.0,     
35-49,William MULHOLLAND,01:59.2,02:45.5,01:45.9,02:38.3,02:45.3,02:04.3,03:41.6
35-49,Colin WILLIAMS,01:57.7,03:00.6,01:45.9,02:34.8,02:35.7,02:01.2,03:24.7
18-34,Daniel WILSON (mas2),02:01.9,02:55.8,01:46.0,02:38.3,02:37.3,01:59.3,03:32.2
35-49,Dan MATTEY,02:00.6,02:59.9,01:46.3,02:38.3,02:48.6,02:10.4,03:38.0
50+,Michael STEELE,02:02.4,02:59.1,01:46.8,02:34.7,02:52.1,     ,03:33.5
18-34,Christian BALL,01:56.0,02:42.0,01:46.8,02:27.7,02:31.5,01:59.4,03:26.6
18-34,Danny STEWART,01:54.9,02:58.2,01:47.2,02:40.1,03:06.9,02:01.7,04:03.6
50+,Fraser DALES,01:56.4,02:46.3,01:47.8,02:37.2,02:45.2,02:04.9,03:31.5
50+,Mark CHEETHAM,01:54.9,02:54.1,01:48.3,02:35.0,02:40.4,02:28.9,03:35.4
35-49,Danny O'CALLAGHAN,01:58.5,02:57.0,01:48.7,02:35.0,02:38.6,02:00.7,     
35-49,Brett LOUDFOOT,01:59.4,02:54.3,01:49.6,02:34.4,02:39.6,01:59.7,03:34.4
