Class,Name,Stage 7: New York New York,Stage 8: Lower Repeat Offender,Stage 9: Mustard/Zorro/Returns,Stage 10: Thunderstruck,Stage 11: Boundary/5yr Plan,Stage 12: Shane McGowan/MildPeril/Deliverance,Stage 13: Ewok/XX/Head Over Heels
18-34 Male,Cameron Jackson,03:07.4,01:01.6,03:32.7,01:29.4,02:38.2,03:46.5,00:38.7
18-34 Male,Lewis Buchanan,03:15.5,01:01.9,03:32.6,01:29.8,02:44.1,03:52.5,00:41.2
18-34 Male,Ben Jackson,03:14.9,01:03.9,03:38.5,01:32.2,02:47.0,03:57.0,00:41.3
18-34 Male,Lewis Brown,03:21.6,01:07.4,03:40.5,01:35.0,02:49.5,04:00.7,00:44.8
35-49 Male,Brendan Morris,03:22.5,01:08.7,03:46.9,01:37.1,02:50.7,03:54.7,00:45.2
18-34 Male,Harvey Game,03:21.0,01:04.3,03:44.6,01:35.5,02:59.0,03:59.0,00:42.4
50+ Male,Nigel Page,03:20.4,01:08.0,03:45.2,01:37.8,02:52.0,03:59.1,00:47.3
18-34 Male,Robbie Dowson,03:25.2,01:06.4,04:04.2,01:32.7,02:44.1,03:51.7,00:47.7
18-34 Male,Ronan White,03:23.5,01:07.6,03:43.2,01:38.9,02:49.7,04:01.9,00:47.9
18-34 Male,Jasper Johnson,03:26.7,01:07.4,03:53.9,01:32.8,02:42.3,03:54.7,01:00.6
14-17 Male,Dylan Hayes,03:28.0,01:08.3,03:43.4,01:36.3,02:49.5,04:05.2,00:48.8
18-34 Male,Carl Walker,03:33.8,01:10.0,03:52.8,01:36.4,02:52.8,04:06.5,00:46.1
35-49 Male,Davi Roberts,03:29.6,01:09.3,03:49.6,01:38.0,02:55.2,04:07.2,00:49.7
35-49 Male,Ash Mullane,03:47.6,01:09.3,03:48.3,01:39.7,02:52.2,03:59.9,00:47.3
14-17 Male,Tod Buchanan,03:38.8,01:12.9,03:51.1,01:38.0,02:54.4,04:03.0,00:46.9
35-49 Male,Rowland Jowett,03:41.7,01:14.5,03:51.2,01:38.4,02:56.5,04:04.6,00:50.3
35-49 Male,David Moore,03:34.3,01:13.4,03:53.7,01:38.1,03:04.8,04:10.9,00:50.0
35-49 Male,Lewis Crolla,03:35.6,01:09.9,03:54.8,01:45.7,02:57.9,04:05.7,00:57.0
18-34 Male,Grant Forbes,03:39.7,01:11.1,03:59.5,01:40.6,02:59.7,04:14.0,00:53.9
35-49 Male,Darren Ingle,03:38.8,01:14.5,03:59.4,01:42.6,02:57.7,04:10.6,00:55.2
35-49 Male,Nikky Davies,03:49.4,01:13.1,03:58.6,01:37.9,03:07.0,04:08.3,00:49.9
35-49 Male,Ian Hampson,03:45.5,01:12.0,04:01.0,01:41.3,03:04.4,04:10.7,00:52.0
35-49 Male,Steven Hume,03:40.1,01:15.6,04:03.8,01:43.0,02:59.6,04:12.9,00:54.2
35-49 Female,Tracy Moseley,03:46.3,01:14.3,03:55.5,01:45.2,03:00.9,04:14.2,00:54.5
50+ Male,Rich Milner,03:47.2,01:18.6,04:00.7,01:44.5,03:00.6,04:04.9,00:54.6
18-34 Male,Mark Shackleton,03:49.5,01:16.0,04:03.5,01:42.5,03:02.4,04:10.6,00:56.9
35-49 Male,Mark McQuaid,03:52.8,01:16.0,04:04.7,01:44.0,03:06.3,04:05.4,00:54.0
35-49 Male,Jon Williamson,03:38.5,01:14.1,04:10.7,01:42.0,03:06.6,04:17.1,00:55.2
35-49 Male,Andrew Mcavoy,03:50.6,01:16.1,04:08.2,01:43.6,03:00.2,04:10.3,00:55.7
50+ Male,Mark Doughty,03:43.4,01:11.7,04:05.2,01:44.9,03:05.5,04:21.0,00:53.5
35-49 Male,Shaun Holmes,03:47.3,01:14.0,04:06.2,01:44.1,03:00.5,04:21.2,00:52.4
35-49 Male,Chris Lloyd,03:47.4,01:19.6,04:08.1,01:44.8,02:59.9,04:12.9,00:53.8
35-49 Male,James Wood,03:43.6,01:13.3,03:59.1,01:43.3,03:03.6,04:28.4,00:57.9
35-49 Male,Sam Gibbons,03:53.9,01:16.5,04:11.4,01:45.2,02:59.2,04:12.2,00:55.7
50+ Male,Jim Buchanan,03:51.7,01:14.4,04:07.1,01:44.6,03:06.2,04:15.0,00:56.8
35-49 Male,Gary Wall,03:50.9,01:13.9,04:07.0,01:44.4,03:10.9,04:19.6,00:56.5
35-49 Male,William Mulholland,04:02.2,01:17.1,04:02.0,01:48.2,03:11.4,04:15.5,00:51.1
35-49 Male,Neal Russell,04:04.9,01:21.6,04:03.3,01:49.5,03:03.1,04:07.3,00:59.3
35-49 Male,Chris Blackmore,03:56.8,01:17.0,04:10.5,01:47.4,03:12.8,04:14.5,01:01.3
