eBike,Pos,No.,Name,Team,Class,Time,Behind,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Stage 1  : Best,,Run 1,Run 2,Run 3,Run 4,Run 5,,Stage 2: Best,Run 1,Run 2,Run 3,Run 4,,,Stage 3: Best,,,,,,,,,,,,,,,,,,
0,1st,367,Cai Grocott,Nukeproof hotlines Vittoria,Manual | Male Elite,04:32.5, ,01:39.7,01:37.5,01:46.7, , , ,01:37.5,1st, ,02:02.2,04:59.3,01:55.7, , ,01:55.7,3rd,+0:01.45,01:02.1,00:59.3, , ,00:59.3,3rd,+0:00.79,,,,,,,,,,,,,,,,
0,2nd,210,Ross Hancock,UK Scott Sports UK,Manual | Male Elite,04:33.6,+0:01.10,01:43.8,01:40.7,01:39.3, , , ,01:39.3,2nd,+0:01.75,02:08.1,01:55.4, , , ,01:55.4,2nd,+0:01.14,01:01.3,00:58.9, , ,00:58.9,2nd,+0:00.45,,,,,,,,,,,,,,,,
0,3rd,264,Charlie Collins, ,Manual | Male Master,04:36.6,+0:04.16,02:51.2,01:50.1,01:41.0, , , ,01:41.0,5th,+0:03.49,02:28.6,01:59.2,01:57.2, , ,01:57.2,5th,+0:02.91,01:11.9,01:00.7,00:58.5, ,00:58.5,1st, ,,,,,,,,,,,,,,,,
0,4th,167,Ben Jones,Ec Cycles,Manual | Male Elite,04:37.5,+0:05.07,01:54.1,01:46.9,01:42.2,01:40.9, , ,01:40.9,4th,+0:03.38,02:05.6,01:58.4,02:06.1,01:57.1, ,01:57.1,4th,+0:02.84,01:02.9,01:01.4,00:59.5, ,00:59.5,4th,+0:01.09,,,,,,,,,,,,,,,,
0,5th,247,Henry Crease, ,Manual | Male Elite,04:38.6,+0:06.15,01:47.5,01:42.2,01:41.5, , , ,01:41.5,6th,+0:03.99,02:03.1,01:59.6,01:54.3, , ,01:54.3,1st, ,01:05.1,01:02.9, , ,01:02.9,7th,+0:04.40,,,,,,,,,,,,,,,,
0,6th,397,Freddy Birchill, ,Manual | Male Elite,04:44.3,+0:11.88,02:34.0,01:46.5,01:44.0, , , ,01:44.0,7th,+0:06.44,02:10.4,01:58.7,02:03.5,02:08.6, ,01:58.7,6th,+0:04.50,01:03.3,01:01.6, , ,01:01.6,5th,+0:03.18,,,,,,,,,,,,,,,,
0,7th,331,Chris Hulley, ,Manual | Male Senior,04:45.7,+0:13.24,01:45.4,01:42.2,01:40.1, , , ,01:40.1,3rd,+0:02.58,04:04.6,02:01.6, , , ,02:01.6,9th,+0:07.36,01:10.7,01:08.3,01:04.0, ,01:04.0,12th,+0:05.54,,,,,,,,,,,,,,,,
0,8th,398,Tod Buchanan,"Pinned TV, Tweed cycles",Manual | Male U18,04:51.0,+0:18.55,01:58.3,01:50.1,01:46.8, , , ,01:46.8,10th,+0:09.24,02:07.8,02:04.2,02:00.6, , ,02:00.6,7th,+0:06.36,01:08.2,01:07.0,01:03.6, ,01:03.6,9th,+0:05.19,,,,,,,,,,,,,,,,
0,9th,87,Tom Fryer, ,Manual | Male Veteran,04:55.5,+0:23.02,01:56.3,01:51.2,01:50.3,01:49.2, , ,01:49.2,19th,+0:11.70,02:09.1,02:15.0,02:02.2,02:07.9, ,02:02.2,10th,+0:07.96,01:04.8,01:04.1, , ,01:04.1,13th,+0:05.60,,,,,,,,,,,,,,,,
0,10th,348,Andrew Titley,Intense Racing UK,Manual | Male Veteran,04:55.8,+0:23.35,01:50.5,01:47.1, , , , ,01:47.1,11th,+0:09.59,02:47.0,02:04.6, , , ,02:04.6,16th,+0:10.31,01:04.3,01:04.2, , ,01:04.2,14th,+0:05.69,,,,,,,,,,,,,,,,
0,11th,186,Greg Berry,Hot Pursuit Cycles,Manual | Male Elite,04:56.3,+0:23.87,02:06.7,01:49.2, , , , ,01:49.2,18th,+0:11.64,02:18.9,02:04.7,02:03.4, , ,02:03.4,11th,+0:09.14,01:10.1,01:03.8,01:08.5, ,01:03.8,10th,+0:05.33,,,,,,,,,,,,,,,,
0,12th,277,Josh JefferyInstagram, ,Manual | Male U18,04:56.4,+0:23.95,02:21.1,01:54.4,01:49.9,01:48.4,01:45.2, ,01:45.2,8th,+0:07.70,02:05.3,02:05.7, , , ,02:05.3,17th,+0:11.10,01:05.8, , , ,01:05.8,26th=,+0:07.39,,,,,,,,,,,,,,,,
0,13th,209,James Mcdouall,Hot Pursuit Cycles,Manual | Male Senior,04:56.7,+0:24.19,01:55.4,01:50.5,01:46.1, , , ,01:46.1,9th,+0:08.60,02:15.1,02:05.7, , , ,02:05.7,18th,+0:11.44,01:08.4,01:07.8,01:04.9, ,01:04.9,16th=,+0:06.39,,,,,,,,,,,,,,,,
0,14th,253,Martin Davies,The Trailhead Bicycle Company,Manual | Male Master,04:56.7,+0:24.24,01:59.3,01:52.4, , , , ,01:52.4,32nd=,+0:14.84,02:21.9,02:06.3,02:01.4, , ,02:01.4,8th,+0:07.15,01:06.3,01:02.9, , ,01:02.9,8th,+0:04.49,,,,,,,,,,,,,,,,
0,15th,361,Noah Killeen, ,Manual | Male U16,04:58.5,+0:26.05,02:17.4,01:58.4,01:48.4, , , ,01:48.4,14th,+0:10.85,02:06.2,02:05.9,02:06.1, , ,02:05.9,20th,+0:11.64,01:10.8,01:04.7,01:04.3, ,01:04.3,15th,+0:05.80,,,,,,,,,,,,,,,,
0,16th,120,James Barnes, ,Manual | Male Master,04:58.8,+0:26.34,01:53.4,01:49.1,01:48.5, , , ,01:48.5,16th,+0:10.94,02:28.3,02:09.3,02:04.5, , ,02:04.5,14th=,+0:10.29,01:10.5,01:05.8, , ,01:05.8,25th,+0:07.35,,,,,,,,,,,,,,,,
0,17th,255,Ross LambieInstagram,The Trailhead,Manual | Male Veteran,05:00.9,+0:28.44,01:52.0,01:47.8,01:48.0, , , ,01:47.8,13th,+0:10.28,02:13.7,02:08.0, , , ,02:08.0,23rd,+0:13.71,01:05.2,01:05.7, , ,01:05.2,18th,+0:06.69,,,,,,,,,,,,,,,,
0,18th,206,Oliver Radford, ,Manual | Male Master,05:01.7,+0:29.20,02:00.5,01:52.4,01:54.3, , , ,01:52.4,32nd=,+0:14.84,02:14.1,02:12.5,02:03.5,02:07.0,02:06.5,02:03.5,12th,+0:09.21,01:07.2,01:05.8, , ,01:05.8,26th=,+0:07.39,,,,,,,,,,,,,,,,
0,19th,265,Jamie Hoare, ,Manual | Male Master,05:01.7,+0:29.23,02:05.9,01:54.2,01:49.1, , , ,01:49.1,17th,+0:11.63,02:30.8,02:09.9, , , ,02:09.9,33rd,+0:15.60,01:17.5,01:11.5,01:02.7, ,01:02.7,6th,+0:04.24,,,,,,,,,,,,,,,,
0,20th,227,Chris Blackmore,Hotpursuit Cycles,Manual | Male Veteran,05:01.8,+0:29.31,02:02.2,01:52.9,01:57.0,01:54.7, , ,01:52.9,35th,+0:15.35,02:20.6,02:06.3,02:03.7, , ,02:03.7,13th,+0:09.40,01:05.3, , , ,01:05.3,20th,+0:06.80,,,,,,,,,,,,,,,,
0,21st,241,Damian GrovesInstagram,Niner bikes,Manual | Male Elite,05:02.6,+0:30.18,03:33.2,01:58.2,01:50.6,01:48.4, , ,01:48.4,15th,+0:10.89,02:57.4,02:09.4, , , ,02:09.4,28th,+0:15.14,01:07.6,01:04.9, , ,01:04.9,16th=,+0:06.39,,,,,,,,,,,,,,,,
0,22nd,246,Mathew MorrisseyInstagram, ,Manual | Male Master,05:03.4,+0:30.95,01:56.4,01:51.9,01:50.4, , , ,01:50.4,26th,+0:12.84,02:13.5,02:05.8, , , ,02:05.8,19th,+0:11.56,01:08.2,01:07.2, , ,01:07.2,34th,+0:08.79,,,,,,,,,,,,,,,,
